asset,island,tris,verts,diag,size_share_of_asset,flat_card,closed,boundary_edges,rot_order,rot_frac,rot_axis,radial_slots,slot_regularity,sphere_fit_rms_rel,median_valence,aspect,size
aegis-veteran,11,58,31,86.224,0.372,False,True,0,0,0.0,,24,-0.383,0.1082,6,1.5,"[40.975, 61.642, 44.226]"
aegis-veteran,1,56,30,18.131,0.078,False,True,0,0,0.0,,11,0.225,0.1257,6,3.65,"[12.193, 3.541, 12.943]"
aegis-veteran,65,56,30,18.131,0.078,False,True,0,0,0.0,,11,0.225,0.1257,6,3.65,"[12.193, 3.541, 12.943]"
aegis-veteran,70,40,24,26.556,0.114,False,False,6,6,1.0,z,6,1.0,0.4806,6,14.21,"[1.858, 2.145, 26.404]"
aegis-veteran,0,33,21,58.807,0.253,False,False,7,0,0.0,,11,0.089,0.2872,5,3.22,"[32.704, 14.483, 46.679]"
aegis-veteran,73,33,21,58.807,0.253,False,False,7,0,0.0,,11,0.06,0.2872,5,3.22,"[32.704, 14.483, 46.679]"
aegis-veteran,54,32,18,14.947,0.064,False,True,0,0,0.0,,13,0.742,0.0106,5,1.69,"[9.212, 6.001, 10.126]"
aegis-veteran,6,32,18,83.58,0.36,False,True,0,0,0.0,,9,0.196,0.2113,5,4.81,"[14.142, 67.993, 46.504]"
aegis-veteran,60,30,17,38.959,0.168,False,True,0,0,0.0,,15,0.504,0.073,5,1.21,"[24.062, 19.871, 23.323]"
aegis-veteran,63,30,17,38.959,0.168,False,True,0,0,0.0,,15,0.489,0.073,5,1.21,"[24.062, 19.871, 23.324]"
aegis-veteran,69,28,16,62.612,0.27,False,True,0,4,1.0,x,4,1.0,0.163,5,3.21,"[57.275, 17.906, 17.866]"
aegis-veteran,53,28,16,14.969,0.065,False,True,0,0,0.0,,13,0.675,0.0217,5,1.44,"[9.92, 6.883, 8.849]"
aegis-veteran,12,24,14,56.953,0.245,False,True,0,0,0.0,,8,0.262,0.0402,5,2.6,"[17.508, 45.588, 29.306]"
aegis-veteran,68,24,14,56.953,0.245,False,True,0,0,0.0,,8,0.262,0.0402,5,2.6,"[17.508, 45.588, 29.306]"
aegis-veteran,71,20,12,16.796,0.072,False,True,0,0,0.0,,10,0.004,0.2117,5,2.56,"[5.689, 6.171, 14.549]"
aegis-veteran,22,20,12,12.877,0.055,False,True,0,6,1.0,pca0,6,1.0,0.0,5,1.24,"[8.099, 7.6, 6.517]"
aegis-veteran,33,20,12,12.689,0.055,False,True,0,6,1.0,pca0,6,1.0,0.0,5,1.11,"[7.674, 6.907, 7.376]"
aegis-veteran,45,18,11,9.68,0.042,False,True,0,0,0.0,,7,0.662,0.0124,5,1.85,"[6.692, 3.613, 5.99]"
aegis-veteran,32,18,11,13.065,0.056,False,True,0,0,0.0,,7,0.271,0.0628,5,2.57,"[3.735, 9.616, 8.017]"
aegis-veteran,43,18,11,12.834,0.055,False,True,0,0,0.0,,7,0.271,0.0629,5,1.85,"[6.588, 9.685, 5.246]"
aegis-veteran,37,18,11,13.573,0.058,False,True,0,0,0.0,,7,0.27,0.0642,5,2.58,"[3.944, 10.195, 8.046]"
aegis-veteran,39,18,11,13.823,0.06,False,True,0,0,0.0,,7,0.27,0.0651,5,3.45,"[3.349, 11.55, 6.815]"
aegis-veteran,36,18,11,13.875,0.06,False,True,0,0,0.0,,7,0.265,0.066,5,2.17,"[6.178, 11.283, 5.199]"
aegis-veteran,42,18,11,12.981,0.056,False,True,0,0,0.0,,7,0.272,0.0629,5,3.21,"[3.349, 10.767, 6.43]"
aegis-veteran,44,18,11,13.472,0.058,False,True,0,0,0.0,,7,0.27,0.0645,5,1.84,"[6.356, 10.435, 5.676]"
aegis-veteran,29,18,11,12.907,0.056,False,True,0,0,0.0,,7,0.272,0.0629,5,3.1,"[3.457, 10.711, 6.319]"
aegis-veteran,31,18,11,13.006,0.056,False,True,0,0,0.0,,7,0.271,0.0629,5,2.36,"[6.583, 10.329, 4.373]"
aegis-veteran,35,18,11,13.134,0.057,False,True,0,0,0.0,,7,0.271,0.0629,5,2.85,"[3.304, 9.423, 8.532]"
aegis-veteran,61,16,10,22.87,0.099,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.516, 9.276, 19.091]"
aegis-veteran,17,16,10,22.87,0.099,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.516, 9.276, 19.091]"
aegis-veteran,25,16,12,29.159,0.126,False,False,6,0,0.0,,5,0.329,0.2648,3,2.8,"[7.699, 18.083, 21.54]"
aegis-veteran,52,16,10,22.892,0.099,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.07,"[17.21, 8.298, 12.611]"
aegis-veteran,62,16,10,22.892,0.099,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.07,"[17.21, 8.298, 12.611]"
aegis-veteran,20,14,14,16.3,0.07,False,False,11,0,0.0,,7,0.491,0.1631,3,3.75,"[9.201, 13.001, 3.464]"
aegis-veteran,3,14,10,25.893,0.112,False,False,4,0,0.0,,4,0.101,0.0147,4,6.16,"[3.959, 7.723, 24.395]"
aegis-veteran,4,14,10,25.893,0.112,False,False,4,0,0.0,,4,0.101,0.0147,4,6.16,"[3.959, 7.723, 24.395]"
aegis-veteran,48,14,14,16.678,0.072,False,False,11,0,0.0,,7,0.349,0.1726,3,2.97,"[4.799, 14.245, 7.226]"
aegis-veteran,57,14,14,15.979,0.069,False,False,11,0,0.0,,7,0.491,0.1631,3,2.97,"[7.791, 13.224, 4.447]"
aegis-veteran,58,14,14,16.667,0.072,False,False,11,0,0.0,,7,0.367,0.1555,3,2.99,"[4.759, 14.245, 7.227]"
aegis-veteran,47,14,14,16.155,0.07,False,False,11,0,0.0,,7,0.491,0.1631,3,2.55,"[5.289, 13.478, 7.165]"
aegis-veteran,55,14,14,15.779,0.068,False,False,11,0,0.0,,7,0.474,0.1776,3,2.97,"[7.374, 13.223, 4.446]"
aegis-veteran,7,14,10,25.893,0.112,False,False,4,0,0.0,,4,0.101,0.0147,4,6.16,"[3.959, 7.723, 24.395]"
aegis-veteran,18,14,14,16.299,0.07,False,False,11,0,0.0,,7,0.474,0.1776,3,3.75,"[9.2, 13.001, 3.463]"
aegis-veteran,21,14,9,9.614,0.041,False,True,0,0,0.0,,9,0.622,0.0026,5,1.87,"[5.525, 3.712, 6.937]"
aegis-veteran,23,14,14,16.025,0.069,False,False,11,0,0.0,,7,0.474,0.1776,3,2.55,"[5.288, 13.478, 6.87]"
aegis-veteran,8,14,10,25.893,0.112,False,False,4,0,0.0,,4,0.101,0.0147,4,6.16,"[3.959, 7.723, 24.395]"
aegis-veteran,15,12,8,12.062,0.052,False,True,0,0,0.0,,6,0.84,0.0619,4,1.03,"[7.026, 7.028, 6.836]"
aegis-veteran,30,12,8,18.621,0.08,False,True,0,0,0.0,,6,0.04,0.0031,4,2.43,"[6.227, 15.13, 8.89]"
aegis-veteran,5,12,8,7.548,0.033,False,True,0,0,0.0,,8,-0.083,0.0016,4,2.92,"[2.18, 3.428, 6.362]"
aegis-veteran,26,12,8,10.586,0.046,False,True,0,0,0.0,,4,0.36,0.0023,4,4.46,"[2.07, 9.235, 4.741]"
aegis-veteran,51,12,8,10.552,0.045,False,True,0,0,0.0,,6,0.84,0.0619,4,1.15,"[6.385, 6.294, 5.565]"
aegis-veteran,34,12,8,10.685,0.046,False,True,0,0,0.0,,4,0.36,0.0023,4,4.45,"[2.071, 9.209, 5.008]"
aegis-veteran,19,10,8,6.265,0.027,False,False,4,0,0.0,,4,0.987,0.0055,4,1.05,"[3.523, 3.61, 3.716]"
aegis-veteran,41,10,8,15.897,0.069,False,False,4,4,1.0,pca2,4,0.5,0.0,4,1.17,"[8.66, 10.097, 8.706]"
aegis-veteran,13,10,8,30.625,0.132,False,False,4,0,0.0,,6,0.382,0.0332,3,2.1,"[18.963, 21.709, 10.345]"
aegis-veteran,9,10,8,5.171,0.022,False,False,4,0,0.0,,4,0.71,0.0009,3,3.93,"[1.044, 2.968, 4.104]"
aegis-veteran,66,10,8,5.171,0.022,False,False,4,0,0.0,,4,0.71,0.0009,3,3.93,"[1.044, 2.968, 4.104]"
aegis-veteran,38,8,6,19.836,0.085,False,True,0,0,0.0,,2,0.0,0.0,4,53.81,"[0.354, 19.033, 5.575]"
aegis-veteran,24,8,6,19.812,0.085,False,True,0,0,0.0,,2,0.0,0.0,4,62.11,"[0.309, 19.18, 4.954]"
aegis-veteran,72,8,6,12.527,0.054,False,True,0,0,0.0,,4,0.743,0.0,4,2.43,"[7.67, 3.77, 9.159]"
aegis-veteran,40,6,5,11.361,0.049,False,True,0,0,0.0,,0,0.0,0.0669,4,16.93,"[0.492, 7.71, 8.33]"
aegis-veteran,46,6,5,16.288,0.07,False,True,0,0,0.0,,0,0.0,0.0008,4,3.49,"[4.18, 14.591, 5.912]"
aegis-veteran,14,6,5,6.941,0.03,False,True,0,0,0.0,,0,0.0,0.0193,4,16.7,"[0.373, 3.034, 6.231]"
aegis,53,142,73,98.725,0.387,False,True,0,0,0.0,,18,-0.447,0.3058,6,3.31,"[25.234, 46.275, 83.478]"
aegis,11,96,50,72.574,0.284,False,True,0,0,0.0,,20,-0.394,0.167,6,2.87,"[21.478, 61.624, 31.753]"
aegis,2,82,43,31.65,0.124,False,True,0,0,0.0,,18,0.272,0.4311,6,7.43,"[3.658, 15.81, 27.174]"
aegis,66,82,43,31.65,0.124,False,True,0,0,0.0,,18,0.272,0.4311,6,7.43,"[3.658, 15.81, 27.174]"
aegis,65,64,34,29.157,0.114,False,True,0,0,0.0,,22,-0.058,0.4808,6,6.5,"[4.282, 7.483, 27.854]"
aegis,4,64,34,29.157,0.114,False,True,0,0,0.0,,22,-0.058,0.4808,6,6.5,"[4.282, 7.483, 27.854]"
aegis,9,58,31,85.703,0.336,False,True,0,0,0.0,,24,-0.383,0.1082,6,1.5,"[40.727, 61.269, 43.958]"
aegis,29,44,24,16.176,0.063,False,True,0,0,0.0,,16,-0.116,0.368,6,2.09,"[6.25, 7.216, 13.059]"
aegis,67,40,24,26.556,0.104,False,False,6,6,1.0,z,6,1.0,0.4806,6,14.21,"[1.858, 2.145, 26.404]"
aegis,58,33,21,56.905,0.223,False,False,7,0,0.0,,11,0.06,0.2872,5,3.22,"[31.646, 14.015, 45.17]"
aegis,1,33,21,56.905,0.223,False,False,7,0,0.0,,11,0.089,0.2872,5,3.22,"[31.646, 14.015, 45.17]"
aegis,13,32,18,83.075,0.325,False,True,0,0,0.0,,9,0.196,0.2111,5,4.81,"[14.057, 67.582, 46.223]"
aegis,54,32,18,14.856,0.058,False,True,0,0,0.0,,13,0.742,0.0106,5,1.69,"[9.156, 5.965, 10.065]"
aegis,37,30,17,39.817,0.156,False,True,0,0,0.0,,15,0.184,0.0987,5,1.35,"[24.86, 18.496, 25.005]"
aegis,48,30,17,39.673,0.155,False,True,0,0,0.0,,15,0.164,0.0987,5,1.33,"[24.86, 18.665, 24.648]"
aegis,63,28,16,62.188,0.244,False,True,0,4,1.0,x,4,1.0,0.1628,5,3.2,"[56.892, 17.758, 17.758]"
aegis,25,28,16,14.879,0.058,False,True,0,0,0.0,,13,0.675,0.0217,5,1.44,"[9.86, 6.841, 8.795]"
aegis,6,24,14,56.609,0.222,False,True,0,0,0.0,,8,0.262,0.0402,5,2.6,"[17.402, 45.312, 29.129]"
aegis,62,24,14,56.609,0.222,False,True,0,0,0.0,,8,0.262,0.0402,5,2.6,"[17.402, 45.312, 29.129]"
aegis,55,20,12,12.612,0.049,False,True,0,6,1.0,pca0,6,1.0,0.0,5,1.11,"[7.627, 6.865, 7.332]"
aegis,68,20,12,16.796,0.066,False,True,0,0,0.0,,10,0.004,0.2117,5,2.56,"[5.689, 6.171, 14.549]"
aegis,21,20,12,12.799,0.05,False,True,0,6,1.0,pca0,6,1.0,0.0,5,1.24,"[8.051, 7.554, 6.477]"
aegis,8,20,14,25.736,0.101,False,False,6,0,0.0,,5,-0.117,0.0551,4,6.16,"[3.935, 7.676, 24.248]"
aegis,3,20,14,25.736,0.101,False,False,6,0,0.0,,5,-0.117,0.0551,4,6.16,"[3.935, 7.676, 24.248]"
aegis,40,18,11,13.739,0.054,False,True,0,0,0.0,,7,0.27,0.0651,5,3.45,"[3.329, 11.48, 6.774]"
aegis,44,18,11,12.902,0.051,False,True,0,0,0.0,,7,0.272,0.0629,5,3.21,"[3.329, 10.702, 6.391]"
aegis,46,18,11,13.791,0.054,False,True,0,0,0.0,,7,0.265,0.066,5,2.17,"[6.141, 11.215, 5.167]"
aegis,39,18,11,13.491,0.053,False,True,0,0,0.0,,7,0.27,0.0642,5,2.58,"[3.92, 10.133, 7.997]"
aegis,38,18,11,9.622,0.038,False,True,0,0,0.0,,7,0.662,0.0124,5,1.85,"[6.651, 3.591, 5.954]"
aegis,36,18,11,13.391,0.052,False,True,0,0,0.0,,7,0.27,0.0645,5,1.84,"[6.317, 10.372, 5.641]"
aegis,34,18,11,12.986,0.051,False,True,0,0,0.0,,7,0.271,0.0629,5,2.57,"[3.712, 9.558, 7.969]"
aegis,51,18,11,12.756,0.05,False,True,0,0,0.0,,7,0.271,0.0629,5,1.85,"[6.548, 9.626, 5.214]"
aegis,28,18,11,12.912,0.051,False,True,0,0,0.0,,7,0.272,0.0626,5,2.36,"[6.544, 10.248, 4.346]"
aegis,30,18,11,12.829,0.05,False,True,0,0,0.0,,7,0.272,0.0629,5,3.1,"[3.436, 10.646, 6.281]"
aegis,31,18,11,13.055,0.051,False,True,0,0,0.0,,7,0.274,0.0635,5,2.85,"[3.284, 9.366, 8.481]"
aegis,23,16,12,28.983,0.114,False,False,6,0,0.0,,5,0.329,0.2648,3,2.8,"[7.653, 17.974, 21.41]"
aegis,61,16,10,22.732,0.089,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.464, 9.22, 18.975]"
aegis,47,16,10,22.754,0.089,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.07,"[17.106, 8.248, 12.534]"
aegis,17,16,10,22.754,0.089,False,True,0,0,0.0,,10,-0.272,0.1255,5,2.07,"[17.106, 8.248, 12.534]"
aegis,15,16,10,22.732,0.089,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.464, 9.22, 18.975]"
aegis,20,14,14,15.929,0.062,False,False,11,0,0.0,,7,0.474,0.1776,3,2.55,"[5.256, 13.397, 6.828]"
aegis,16,14,14,16.201,0.063,False,False,11,0,0.0,,7,0.474,0.1776,3,3.75,"[9.145, 12.922, 3.442]"
aegis,19,14,9,9.556,0.037,False,True,0,0,0.0,,9,0.622,0.0026,5,1.87,"[5.492, 3.689, 6.895]"
aegis,18,14,14,16.202,0.063,False,False,11,0,0.0,,7,0.491,0.1631,3,3.75,"[9.146, 12.923, 3.443]"
aegis,60,14,14,15.883,0.062,False,False,11,0,0.0,,7,0.491,0.1631,3,2.97,"[7.744, 13.144, 4.42]"
aegis,57,14,14,15.684,0.061,False,False,11,0,0.0,,7,0.474,0.1776,3,2.97,"[7.329, 13.143, 4.419]"
aegis,50,14,14,16.577,0.065,False,False,11,0,0.0,,7,0.349,0.1726,3,2.97,"[4.77, 14.159, 7.182]"
aegis,56,14,14,16.566,0.065,False,False,11,0,0.0,,7,0.367,0.1555,3,2.99,"[4.73, 14.159, 7.183]"
aegis,33,14,14,16.057,0.063,False,False,11,0,0.0,,7,0.491,0.1631,3,2.55,"[5.258, 13.397, 7.121]"
aegis,59,12,8,10.489,0.041,False,True,0,0,0.0,,6,0.84,0.0619,4,1.15,"[6.346, 6.256, 5.531]"
aegis,45,12,8,10.621,0.042,False,True,0,0,0.0,,4,0.36,0.0023,4,4.45,"[2.058, 9.154, 4.977]"
aegis,27,12,8,10.522,0.041,False,True,0,0,0.0,,4,0.36,0.0023,4,4.46,"[2.057, 9.18, 4.712]"
aegis,35,12,8,18.019,0.071,False,True,0,0,0.0,,6,0.04,0.0031,4,2.43,"[6.026, 14.641, 8.603]"
aegis,10,12,8,11.989,0.047,False,True,0,0,0.0,,6,0.84,0.0619,4,1.03,"[6.984, 6.986, 6.794]"
aegis,5,12,8,7.548,0.03,False,True,0,0,0.0,,8,-0.083,0.0016,4,2.92,"[2.18, 3.428, 6.362]"
aegis,43,10,8,15.801,0.062,False,False,4,4,1.0,pca2,4,0.5,0.0,4,1.17,"[8.607, 10.036, 8.653]"
aegis,12,10,8,30.44,0.119,False,False,4,0,0.0,,6,0.382,0.0332,3,2.1,"[18.849, 21.578, 10.283]"
aegis,7,10,8,5.171,0.02,False,False,4,0,0.0,,4,0.71,0.0009,3,3.93,"[1.044, 2.968, 4.104]"
aegis,14,10,8,6.227,0.024,False,False,4,0,0.0,,4,0.987,0.0055,4,1.05,"[3.502, 3.588, 3.694]"
aegis,64,10,8,5.171,0.02,False,False,4,0,0.0,,4,0.71,0.0009,3,3.93,"[1.044, 2.968, 4.104]"
aegis,52,8,6,11.116,0.044,False,True,0,0,0.0,,6,0.063,0.0004,4,3.26,"[3.117, 3.303, 10.146]"
aegis,24,8,6,11.116,0.044,False,True,0,0,0.0,,6,0.063,0.0004,4,3.26,"[3.117, 3.303, 10.146]"
aegis,22,8,6,19.692,0.077,False,True,0,0,0.0,,2,0.0,0.0,4,62.11,"[0.307, 19.064, 4.924]"
aegis,0,8,6,13.682,0.054,False,True,0,0,0.0,,0,0.0,0.0,4,1.0,"[7.899, 7.899, 7.899]"
aegis,42,8,6,5.471,0.021,False,True,0,0,0.0,,4,0.608,0.0654,4,4.36,"[1.1, 2.385, 4.8]"
aegis,69,8,6,12.527,0.049,False,True,0,0,0.0,,4,0.743,0.0,4,2.43,"[7.67, 3.77, 9.159]"
