asset,file_kb,awd_version,compressed,geometry_blocks,mesh_objects,render_objects,anchor_objects,anchor_tris,materials,material_names,object_names,has_skeleton,vertex_anim_blocks,embedded_textures,stream_types,stores_normals,stores_uv,stores_uv1,stores_skin,bbox_x,bbox_y,bbox_z,bbox_diag,verts_stored,verts_welded,vertex_split_ratio,tris,degenerate_tris,duplicate_faces,edges,boundary_edges,nonmanifold_edges,open_shell,euler_chi,surface_area,manifold_edge_pairs,hard_edges_gt30,hard_edge_ratio,mean_dihedral_deg,quads_detected,quad_tri_ratio,tris_not_in_quad,coplanar_clusters,max_coplanar_cluster_tris,ngon_clusters_ge3,tris_in_flat_clusters_ge3,islands,largest_island_tri_share,planar_islands,island_bbox_overlaps,has_uv,uv_min_u,uv_max_u,uv_min_v,uv_max_v,uv_tiled,uv_area_sum,uv_coverage,uv_overlap_factor,uv_seam_ratio,texel_density_p50,texel_density_iqr_ratio,has_normals_stream,mirror_x0,mirror_xc,mirror_y0,mirror_yc,mirror_z0,mirror_zc,best_mirror,best_mirror_frac,rot_sym_order,rot_sym_axis,rot_sym_frac,tri_share_x_upper_half,tri_share_y_upper_half,tri_share_z_upper_half,tri_share_outer_third_radial,area_share_outer_third_radial
fx_loot_present_green_purple,6.0,2.1,1,1,1,1,0,0,1,fx_loot_present_green_purple,fx_loot_present_green_purple,False,0,0,1|2|3,False,True,False,False,1.0580750107765198,1.2779120206832886,1.0394819974899292,1.9578316281392103,407,325,1.252,560,0,0,880,80,0,True,5,9.903099869418085,800,144,0.18,24.52,210,0.75,140,270,18,21,198,8,0.257,0,22,True,0.19792599976062775,0.6309319734573364,0.9211509823799133,0.9940869808197021,False,0.0032,0.002,1.63,0.201,0.01786,6.02,False,0.357,0.012,0.098,0.0,0.348,0.348,mirror_x0,0.357,0,,0.0,0.495,0.832,0.721,0.525,0.604
fx_loot_present_red_yellow,6.0,2.1,1,1,1,1,0,0,1,fx_loot_present_red_yellow,fx_loot_present_red_yellow,False,0,0,1|2|3,False,True,False,False,1.0580750107765198,1.2779120206832886,1.0394819974899292,1.9578316281392103,407,325,1.252,560,0,0,880,80,0,True,5,9.903099869418085,800,144,0.18,24.52,210,0.75,140,270,18,21,198,8,0.257,0,22,True,0.8340039849281311,0.9911379814147949,0.9211509823799133,0.9940869808197021,False,0.0032,0.0018,1.78,0.201,0.01794,6.02,False,0.357,0.012,0.098,0.0,0.348,0.348,mirror_x0,0.357,0,,0.0,0.495,0.832,0.721,0.525,0.604
fx_loot_prometheus_center,2.3,2.1,1,1,1,1,0,0,1,box_midle,box_midle,False,0,0,1|2|3,False,True,False,False,2.4200000762939453,0.9590999782085419,1.3216000199317932,2.9194005806237078,220,72,3.056,124,0,0,192,12,0,True,4,12.950019223693065,180,101,0.561,36.23,43,0.694,38,75,6,2,12,3,0.742,0,3,True,0.0020000000949949026,0.9980000257492065,0.163100004196167,0.9980000257492065,False,0.2842,0.3744,0.76,0.673,0.14819,1.02,False,0.0,0.389,0.0,0.0,0.0,0.0,mirror_xc,0.389,0,,0.0,0.5,0.548,0.371,0.484,0.178
fx_loot_prometheus_glow,4.1,2.1,1,1,1,1,0,0,1,box_glow,box_glow,False,0,0,1|2|3,False,True,False,False,2.131999969482422,3.0642000436782837,1.6824000477790833,4.094534857382229,356,127,2.803,200,0,0,320,40,0,True,7,12.757385023511333,280,129,0.461,36.55,52,0.52,96,126,11,6,50,7,0.23,0,7,True,0.0020000000949949026,0.9510999917984009,0.00839999970048666,0.9980000257492065,False,0.28,0.3421,0.82,0.643,0.14811,1.02,False,0.0,0.0,0.0,0.0,0.0,0.008,mirror_zc,0.008,0,,0.0,0.46,0.64,0.34,0.575,0.472
fx_loot_prometheus_glow_green,1.6,2.1,1,1,1,1,0,0,1,Object001,Object001,False,0,0,1|2|3,False,True,False,False,2.0439000129699707,0.8925999999046326,1.6823999881744385,2.7936949982161163,122,47,2.596,72,0,0,116,16,0,True,3,5.719132052335844,100,48,0.48,35.08,23,0.639,26,39,11,2,22,3,0.639,0,3,True,0.0020000000949949026,0.9160000085830688,0.038100000470876694,0.9980000257492065,False,0.1255,0.1487,0.84,0.615,0.14809,1.01,False,0.0,0.0,0.0,0.0,0.0,0.021,mirror_zc,0.021,0,,0.0,0.319,0.431,0.653,0.625,0.518
fx_loot_prometheus_glow_red,2.8,2.1,1,1,1,1,0,0,1,box_glow,box_glow,False,0,0,1|2|3,False,True,False,False,2.131999969482422,1.4233000576496124,1.448199987411499,2.944229971914066,232,80,2.9,128,0,0,204,24,0,True,4,7.038198953819061,180,81,0.45,37.37,29,0.453,70,87,11,4,28,4,0.359,0,4,True,0.0020000000949949026,0.9510999917984009,0.00839999970048666,0.9980000257492065,False,0.1545,0.1933,0.8,0.655,0.14811,1.04,False,0.0,0.0,0.0,0.0,0.0,0.0,mirror_x0,0.0,0,,0.0,0.664,0.234,0.578,0.594,0.447
fx_loot_pumpkin,7.8,2.1,1,1,1,1,0,0,1,fx_loot_pumpkin,fx_loot_pumpkin,False,0,0,1|2|3,False,True,False,False,1.9817739725112915,2.005465030670166,1.8720210194587708,3.3843434761648425,493,287,1.718,560,0,0,844,8,0,True,3,11.336542494717765,836,340,0.407,34.88,66,0.236,428,478,20,5,38,2,0.929,0,1,True,-2.0075879096984863,2.9991040229797363,-7.024946212768555,8.058609962463379,True,20.4738,0.9023,22.69,0.418,1.17913,2.19,False,0.617,0.617,0.0,0.007,0.474,0.028,mirror_x0,0.617,0,,0.0,0.514,0.405,0.286,0.661,0.644
fx_loot_space_egg,2.9,2.1,1,1,1,1,0,0,1,fx_loot_space_egg,fx_loot_space_egg,False,0,0,1|2|3,False,True,False,False,0.8784719705581665,1.3136799931526184,0.8858209848403931,1.811669656601174,138,118,1.169,232,0,0,348,0,0,False,2,3.124463157354073,348,13,0.037,13.43,19,0.164,194,213,2,0,0,1,1.0,0,0,True,-2.9719040393829346,3.2629499435424805,-2.1244540214538574,1.5313550233840942,True,17.0662,0.9637,17.71,0.145,2.1629,1.3,False,0.822,0.822,0.127,0.017,0.72,0.008,mirror_x0,0.822,0,,0.0,0.5,0.44,0.5,0.716,0.757
fx_loot_space_egg_glow,2.6,2.1,1,1,1,1,0,0,1,fx_loot_space_egg_glow,fx_loot_space_egg_glow,False,0,0,1|2|3,False,True,False,False,1.432191014289856,1.8152570128440857,1.0590640008449554,2.54321561845982,174,174,1.0,116,0,0,261,174,0,True,29,3.552274968253362,87,0,0.0,12.02,0,0.0,116,116,1,0,0,29,0.034,0,66,True,0.0,1.0,0.0,1.0,False,29.0,0.002,14848.0,0.0,2.7883,1.37,False,0.0,0.0,0.017,0.006,0.006,0.011,mirror_y0,0.017,0,,0.0,0.457,0.586,0.267,0.405,0.456
fx_loot_titanc_shards_in_air,3.6,2.1,1,1,1,1,0,0,1,fx_loot_titanic_shards_in_air,fx_loot_titanic_shards_in_air,False,0,0,1|2|3,False,True,False,False,2.3080040216445923,3.4675499200820923,2.2561980485916138,4.737215917251138,480,160,3.0,240,0,0,360,0,0,False,40,1.6706757907604715,360,204,0.567,56.12,40,0.333,160,200,2,0,0,20,0.05,0,0,True,0.21030199527740479,0.8376830220222473,0.07634899765253067,0.7584109902381897,False,8.4822,0.4347,19.51,0.667,2.38521,1.51,False,0.006,0.0,0.0,0.0,0.0,0.013,mirror_zc,0.013,0,,0.0,0.479,0.5,0.45,0.442,0.331
fx_loot_titanc_shards_on_cube,4.5,2.1,1,1,1,1,0,0,1,fx_loot_titanic_shards_on_cube,fx_loot_titanic_shards_on_cube,False,0,0,1|2|3,False,True,False,False,1.1553499698638916,0.9926239848136902,1.1553499698638916,1.9117974476801667,392,392,1.0,304,0,0,652,392,0,True,44,1.63744188645037,260,32,0.123,22.15,122,0.803,60,76,11,40,252,44,0.046,44,15,True,0.17860500514507294,0.8213949799537659,0.1695760041475296,0.8304240107536316,False,1.2395,0.307,4.04,0.0,0.78826,1.0,False,0.036,0.036,0.01,0.018,0.02,0.02,mirror_x0,0.036,0,,0.0,0.5,0.632,0.5,1.0,1.0
fx_loot_turkey,2.7,2.1,1,1,1,1,0,0,1,fx_loot_turkey,fx_loot_turkey,False,0,0,1|2|3,False,True,False,False,2.1669939756393433,0.7918819785118103,0.7918819785118103,2.4392656735666916,151,126,1.198,248,0,0,372,0,0,False,2,3.589682860175076,372,144,0.387,24.79,60,0.484,128,188,2,0,0,1,1.0,0,0,True,0.04604899883270264,0.9954439997673035,0.022840000689029694,0.9957590103149414,False,1.2372,0.7116,1.74,0.166,0.66633,1.73,False,0.0,0.0,0.968,0.968,0.77,0.77,mirror_y0,0.968,0,,0.0,0.71,0.5,0.5,0.532,0.394
fx_mark_target_arrows,0.5,2.1,1,1,1,1,0,0,1,fx_mark_target_arrows,fx_mark_target_arrows,False,0,0,1|2|3,False,True,False,False,79.53086853027344,0.0,11.589661598205566,80.37088592979772,30,12,2.5,14,0,0,24,6,0,True,2,112.44371083965052,18,0,0.0,0.0,6,0.857,2,2,7,2,14,2,0.5,2,0,True,-0.511588990688324,1.506814956665039,0.10672199726104736,0.6384479999542236,True,1.4196,0.1837,7.73,0.6,0.17623,1.26,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,0,,0.0,0.5,0.0,0.429,1.0,1.0
fx_mark_target_ring_fat,2.0,2.1,1,1,1,1,0,0,1,fx_mark_target_ring_fat,fx_mark_target_ring_fat,False,0,0,1|2|3,False,True,False,False,86.87524795532227,0.0,86.87523651123047,122.86014580074759,130,128,1.016,128,0,0,256,128,0,True,0,2082.3826153649434,128,0,0.0,0.0,64,1.0,0,1,128,1,128,1,1.0,1,0,True,-6.591337203979492,7.591334819793701,0.5048879981040955,0.9966670274734497,True,6.9461,0.4845,14.34,0.015,0.05812,1.11,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,64,y,1.0,0.5,0.0,0.5,1.0,1.0
fx_mark_target_ring_thin,1.9,2.1,1,1,1,1,0,0,1,fx_mark_target_ring_thin,fx_mark_target_ring_thin,False,0,0,1|2|3,False,True,False,False,86.87524795532227,0.0,86.87523651123047,122.86014580074759,130,128,1.016,128,0,0,256,128,0,True,0,712.0275389598268,128,0,0.0,0.0,64,1.0,0,1,128,1,128,1,1.0,1,0,True,-23.565452575683594,24.56545066833496,0.5048879981040955,0.9966670274734497,True,23.6556,0.4961,47.68,0.015,0.18247,1.03,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,64,y,1.0,0.5,0.0,0.5,1.0,1.0
fx_mark_target_wings,1.3,2.1,1,1,1,1,0,0,1,fx_mark_target_wings,fx_mark_target_wings,False,0,0,1|2|3,False,True,False,False,100.79406356811523,0.0,71.27217102050781,123.44701540559727,76,68,1.118,64,0,0,130,68,0,True,2,1096.5406069628011,62,0,0.0,0.0,31,0.969,2,2,32,2,64,2,0.5,2,0,True,-1.8154670000076294,3.2047219276428223,0.004887999966740608,0.9966670274734497,True,4.6972,0.8449,5.56,0.105,0.06568,1.08,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,64,y,0.941,0.5,0.0,0.5,1.0,1.0
fx_medal,4.4,2.1,1,1,1,1,0,0,1,fx_medal,fx_medal,False,0,0,1|2|3,False,True,False,False,83.58001708984375,129.4256591796875,16.948583602905273,154.9963709155149,354,262,1.351,500,0,0,758,16,0,True,4,21707.22187481531,742,260,0.35,21.34,245,0.98,10,142,64,12,248,4,0.768,0,4,True,0.27994900941848755,0.6315420269966125,0.339013010263443,0.634784996509552,False,0.2626,0.0733,3.58,0.26,0.00172,1.64,False,1.0,1.0,0.74,0.0,1.0,1.0,mirror_x0,1.0,0,,0.0,0.5,0.396,0.5,0.332,0.229
fx_mucosum,4.8,2.1,1,1,1,1,0,0,1,Box2,Box2,False,0,0,1|2|3,False,True,False,False,42.782901763916016,30.097182273864746,41.016387939453125,66.47225845243143,239,204,1.172,372,0,0,567,18,0,True,9,4356.234084168307,549,156,0.284,21.21,30,0.161,312,342,2,0,0,5,0.516,0,7,True,0.012675999663770199,0.9777039885520935,0.01382100023329258,0.9741140007972717,False,0.8354,0.8144,1.03,0.146,0.01357,1.69,False,0.005,0.0,0.02,0.02,0.0,0.0,mirror_y0,0.02,0,,0.0,0.61,0.417,0.411,0.363,0.188
