file,asset,channel,name_size,width,height,mips,format,format_id,cube,bytes
asset-eic-earth_normal_256.atf,asset-eic-earth,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,34243
asset-eic-earth_normal_512.atf,asset-eic-earth,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,127158
asset-eic-earth_specular_1024.atf,asset-eic-earth,specular,1024,1024,1024,11,COMPRESSED(DXT1/PVRTC/ETC1),2,False,324748
asset-eic-earth_specular_128.atf,asset-eic-earth,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7932
asset-eic-earth_specular_256.atf,asset-eic-earth,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,25094
asset-eic-earth_specular_512.atf,asset-eic-earth,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,88718
asset-eic-moon_diffuse_128.atf,asset-eic-moon,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9890
asset-eic-moon_diffuse_256.atf,asset-eic-moon,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,34407
asset-eic-moon_diffuse_512.atf,asset-eic-moon,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,131126
asset-eic-moon_glow_128.atf,asset-eic-moon,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9146
asset-eic-moon_glow_256.atf,asset-eic-moon,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,31642
asset-eic-moon_glow_512.atf,asset-eic-moon,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,119603
asset-eic-moon_normal_128.atf,asset-eic-moon,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8323
asset-eic-moon_normal_256.atf,asset-eic-moon,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,32411
asset-eic-moon_normal_512.atf,asset-eic-moon,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,130750
asset-eic-moon_specular_128.atf,asset-eic-moon,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7685
asset-eic-moon_specular_256.atf,asset-eic-moon,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,26538
asset-eic-moon_specular_512.atf,asset-eic-moon,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,102454
asset-eic-satellite1_alpha_128.atf,asset-eic-satellite1,alpha,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7697
asset-eic-satellite1_alpha_256.atf,asset-eic-satellite1,alpha,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,19462
asset-eic-satellite1_alpha_512.atf,asset-eic-satellite1,alpha,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,51039
asset-eic-satellite1_diffuse_128.atf,asset-eic-satellite1,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9604
asset-eic-satellite1_diffuse_256.atf,asset-eic-satellite1,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,31048
asset-eic-satellite1_diffuse_512.atf,asset-eic-satellite1,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,109449
asset-eic-satellite1_glow_128.atf,asset-eic-satellite1,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,3828
asset-eic-satellite1_glow_256.atf,asset-eic-satellite1,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7407
asset-eic-satellite1_glow_512.atf,asset-eic-satellite1,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,16149
asset-eic-satellite1_normal_128.atf,asset-eic-satellite1,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11016
asset-eic-satellite1_normal_256.atf,asset-eic-satellite1,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,35392
asset-eic-satellite1_normal_512.atf,asset-eic-satellite1,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,120571
asset-eic-satellite1_specular_128.atf,asset-eic-satellite1,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9392
